,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_IS_NO,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
3983,1,0,0,0,1,0,0,0,0,0,0,0,0,1,24.25,24.25,1,True,False,False,True,False,False,False,False,True,False
3609,0,0,0,0,61,1,1,0,1,1,0,1,1,1,103.95,6423.0,0,False,True,False,False,True,False,False,False,True,False
5648,0,1,1,1,28,0,0,0,1,0,0,0,1,1,39.1,1096.6,0,True,False,False,False,True,False,False,False,True,False
5499,1,1,0,0,15,1,0,0,0,0,0,0,1,1,79.4,1156.1,1,False,True,False,True,False,False,False,False,True,False
4263,0,0,1,0,72,1,1,1,1,1,1,1,1,1,115.55,8312.4,0,False,True,False,False,False,True,False,True,False,False
6796,1,0,1,1,2,1,1,1,0,0,0,0,0,0,56.7,113.55,1,True,False,False,True,False,False,False,False,False,True
6763,1,1,1,1,71,1,1,0,1,1,1,0,1,1,72.9,5139.65,0,True,False,False,False,True,False,True,False,False,False
5117,0,0,0,0,66,0,0,1,0,1,1,1,1,1,61.35,4193.4,0,True,False,False,False,False,True,True,False,False,False
5210,1,0,1,0,53,0,0,0,1,1,1,1,1,1,60.45,3184.25,1,True,False,False,False,True,False,False,False,True,False
5497,1,0,1,1,49,0,0,0,1,0,0,1,1,1,51.8,2541.25,1,True,False,False,False,True,False,True,False,False,False
5282,0,0,1,0,3,1,1,0,0,0,0,1,1,1,95.2,292.85,1,False,True,False,True,False,False,False,False,True,False
1482,0,1,0,0,13,1,0,0,0,1,0,1,1,1,96.85,1235.55,0,False,True,False,True,False,False,False,False,True,False
2939,1,1,0,0,12,1,0,0,1,1,1,0,0,1,83.8,1029.75,1,False,True,False,True,False,False,False,False,False,True
3600,1,1,1,1,51,1,1,0,1,1,0,0,0,1,84.2,4146.05,1,False,True,False,True,False,False,False,False,True,False
358,1,1,1,0,27,0,0,1,0,0,0,0,0,0,30.75,805.1,1,True,False,False,True,False,False,False,True,False,False
4842,1,1,0,0,9,1,1,1,0,0,0,0,0,0,54.55,494.05,1,True,False,False,True,False,False,False,False,True,False
129,1,1,0,0,71,0,0,1,1,0,0,1,1,1,56.45,3985.35,0,True,False,False,False,True,False,False,False,True,False
6419,1,1,1,0,69,1,1,1,1,0,0,0,0,1,84.9,5785.65,0,False,True,False,True,False,False,False,True,False,False
2468,1,0,1,0,4,0,0,0,1,0,0,1,1,1,48.55,201.0,1,True,False,False,True,False,False,False,False,True,False
5758,1,0,0,0,22,1,0,0,0,0,0,0,0,0,20.3,475.1,0,False,False,True,False,True,False,False,False,False,True
6452,1,0,0,0,15,1,1,1,0,0,0,1,0,1,87.75,1242.2,0,False,True,False,True,False,False,True,False,False,False
1589,0,1,0,0,7,1,0,0,1,1,0,1,0,1,64.95,493.65,0,True,False,False,True,False,False,False,False,True,False
11,1,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,False,False,True,False,False,True,False,True,False,False
4251,0,0,1,1,24,0,0,1,1,1,1,0,1,1,52.5,1208.15,0,True,False,False,False,False,True,False,False,False,True
2431,1,1,0,0,2,0,0,0,0,0,0,0,0,1,24.45,47.5,1,True,False,False,True,False,False,False,False,False,True
4569,0,0,0,0,22,1,0,1,0,0,0,0,0,1,48.8,1054.6,1,True,False,False,True,False,False,False,True,False,False
3595,0,1,0,0,2,1,0,0,0,0,0,0,0,1,70.2,115.95,1,False,True,False,True,False,False,True,False,False,False
4106,0,1,1,0,24,1,1,0,0,0,0,1,1,1,93.55,2264.05,1,False,True,False,True,False,False,False,False,True,False
3981,0,1,0,0,8,1,1,0,0,0,0,0,1,0,85.2,695.75,0,False,True,False,True,False,False,False,False,True,False
4106,0,1,1,0,24,1,1,0,0,0,0,1,1,1,93.55,2264.05,1,False,True,False,True,False,False,False,False,True,False
651,0,0,0,0,1,1,0,0,0,1,0,0,0,1,74.6,74.6,1,False,True,False,True,False,False,False,False,False,True
53,0,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,False,True,False,True,False,False,False,True,False,False
4182,0,1,0,0,29,1,1,0,0,0,1,1,1,0,98.65,2862.75,1,False,True,False,True,False,False,False,False,True,False
6639,1,0,1,1,50,1,0,0,1,1,1,1,1,1,103.4,5236.4,0,False,True,False,False,True,False,True,False,False,False
1410,0,1,0,0,2,1,1,0,0,0,0,1,1,1,93.85,170.85,1,False,True,False,True,False,False,False,False,True,False
5944,1,0,0,0,12,1,0,1,0,0,1,0,0,0,56.65,654.85,1,True,False,False,True,False,False,False,False,False,True
2702,1,0,0,0,1,1,0,0,0,0,0,0,0,0,44.0,44.0,0,True,False,False,True,False,False,False,False,True,False
117,0,0,1,1,10,1,1,1,0,0,0,1,1,1,100.25,1064.65,1,False,True,False,True,False,False,False,False,True,False
3529,1,1,1,0,2,1,0,0,0,1,0,0,0,1,74.2,140.1,0,False,True,False,True,False,False,False,False,True,False
2741,1,1,0,0,5,1,0,0,0,0,0,1,1,1,89.5,477.7,1,False,True,False,True,False,False,False,False,True,False
5912,0,1,0,0,47,1,1,0,1,1,0,0,0,1,85.2,3969.35,1,False,True,False,True,False,False,True,False,False,False
5616,0,0,1,1,38,1,0,1,1,0,0,0,0,0,54.5,2076.05,0,True,False,False,True,False,False,False,False,True,False
2162,1,0,1,0,28,1,1,0,1,1,0,1,0,0,96.6,2684.35,0,False,True,False,True,False,False,False,True,False,False
3598,1,1,0,0,1,1,0,0,0,0,0,0,0,0,46.3,46.3,0,True,False,False,True,False,False,False,False,True,False
6660,1,0,1,0,1,1,0,0,0,0,0,0,0,1,69.15,69.15,1,False,True,False,True,False,False,False,False,True,False
5387,1,0,0,0,4,0,0,0,0,0,1,0,0,0,30.5,118.4,0,True,False,False,True,False,False,False,False,True,False
168,1,1,1,0,58,0,0,0,1,1,0,0,1,1,45.3,2651.2,1,True,False,False,True,False,False,False,False,True,False
3007,0,1,0,0,32,1,0,0,1,0,0,0,0,1,74.4,2276.95,1,False,True,False,True,False,False,False,False,True,False
2126,1,0,0,0,1,1,0,0,0,0,0,0,0,0,44.45,44.45,0,True,False,False,True,False,False,False,False,False,True
2822,0,0,1,1,41,1,1,1,1,1,1,0,1,0,79.9,3326.2,1,True,False,False,True,False,False,False,True,False,False
2748,1,0,0,0,4,0,0,0,0,0,0,1,1,1,44.55,174.3,1,True,False,False,True,False,False,False,False,True,False
185,0,0,1,0,1,0,0,0,0,0,0,0,0,1,24.8,24.8,1,True,False,False,True,False,False,False,False,True,False
1083,1,0,0,0,2,1,0,0,0,0,0,0,1,1,80.95,171.15,1,False,True,False,True,False,False,False,False,True,False
3631,0,1,1,0,1,1,0,1,0,0,0,0,0,1,49.55,49.55,1,True,False,False,True,False,False,False,False,True,False
6032,1,1,1,0,68,1,1,0,1,1,0,1,1,1,105.3,7299.65,1,False,True,False,True,False,False,False,False,True,False
5839,1,1,1,0,7,1,1,0,0,0,0,0,0,1,75.4,533.05,0,False,True,False,True,False,False,False,False,True,False
3805,1,1,0,0,1,1,0,0,0,0,0,0,0,1,71.65,71.65,1,False,True,False,True,False,False,False,False,True,False
6479,0,0,0,0,1,1,0,0,0,0,0,1,0,1,55.0,55.0,1,True,False,False,True,False,False,False,True,False,False
3766,0,1,0,0,1,1,0,1,0,1,0,0,0,1,55.8,55.8,1,True,False,False,True,False,False,False,False,True,False
4939,1,0,0,0,1,1,0,0,0,0,0,0,0,0,18.9,18.9,0,False,False,True,True,False,False,False,False,False,True
6581,0,1,0,0,54,1,1,0,1,0,1,1,0,0,72.1,3886.05,0,True,False,False,False,True,False,False,False,False,True
5760,1,1,1,0,16,1,0,0,0,1,1,0,1,1,91.55,1540.05,0,False,True,False,True,False,False,False,False,True,False
1376,1,0,0,0,5,1,0,0,0,1,0,1,1,1,70.0,347.4,1,True,False,False,False,True,False,False,False,False,True
6600,0,0,1,1,3,0,0,1,0,0,0,0,0,0,29.7,91.7,1,True,False,False,True,False,False,False,True,False,False
4473,0,1,1,0,26,1,1,0,0,1,0,1,1,1,98.1,2510.7,0,False,True,False,True,False,False,True,False,False,False
5494,0,0,0,0,8,1,0,1,0,0,0,1,0,0,84.95,668.4,1,False,True,False,True,False,False,False,False,True,False
1224,1,0,1,1,1,1,0,0,0,0,0,0,0,1,45.85,45.85,1,True,False,False,True,False,False,False,False,False,True
5411,0,1,1,0,1,0,0,0,0,0,0,0,0,1,24.8,24.8,1,True,False,False,True,False,False,False,False,True,False
6834,0,0,0,0,15,0,0,0,1,0,0,0,1,1,38.8,603.0,0,True,False,False,False,False,True,False,False,False,True
3115,0,0,0,0,13,1,1,0,1,1,0,0,0,1,84.45,1058.6,1,False,True,False,True,False,False,False,False,True,False
1116,0,0,0,0,38,1,1,0,0,0,0,0,0,1,24.25,914.4,0,False,False,True,False,True,False,False,False,True,False
20,1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,True,False,False,True,False,False,False,False,True,False
5908,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,1,False,False,True,True,False,False,False,False,False,True
4541,0,1,0,0,1,1,1,0,0,0,0,0,0,0,50.55,50.55,1,True,False,False,True,False,False,False,False,False,True
5627,1,1,1,0,7,1,1,0,0,0,0,0,0,1,74.85,485.25,0,False,True,False,True,False,False,False,False,True,False
7037,0,0,0,0,72,1,0,0,0,0,0,0,0,1,21.15,1419.4,0,False,False,True,False,False,True,True,False,False,False
2502,0,0,0,0,70,1,1,0,0,0,0,0,0,0,26.05,1856.4,0,False,False,True,False,True,False,False,True,False,False
2113,1,0,1,1,45,1,1,0,1,1,0,0,1,1,95.0,4368.85,0,False,True,False,False,True,False,False,True,False,False
7034,0,0,0,0,67,1,1,1,1,1,0,1,0,1,102.95,6886.25,1,False,True,False,True,False,False,False,True,False,False
4349,1,1,1,0,1,1,1,1,0,0,0,0,0,1,80.3,80.3,1,False,True,False,True,False,False,False,False,True,False
4989,0,0,0,1,7,0,0,1,0,0,0,0,0,0,29.8,201.95,0,True,False,False,True,False,False,False,False,False,True
4853,0,0,0,0,53,1,0,0,1,1,1,0,1,1,94.45,5042.75,0,False,True,False,False,True,False,False,True,False,False
4911,1,1,1,0,72,1,0,1,1,0,1,0,0,1,84.8,6141.65,0,False,True,False,False,False,True,False,True,False,False
5231,1,1,1,0,16,1,1,0,0,1,0,1,1,1,98.75,1587.55,1,False,True,False,True,False,False,False,False,True,False
4567,1,0,0,0,34,1,1,0,1,0,1,1,1,1,105.35,3540.65,0,False,True,False,True,False,False,False,False,True,False
1405,0,0,0,0,1,1,1,0,0,0,0,0,0,0,76.0,76.0,1,False,True,False,True,False,False,False,False,True,False
5208,0,0,1,1,14,1,0,1,1,0,1,0,0,0,59.45,780.85,0,True,False,False,True,False,False,True,False,False,False
2427,1,0,0,0,1,0,0,0,0,0,0,0,1,0,35.9,35.9,1,True,False,False,True,False,False,False,False,True,False
2477,1,0,0,0,3,1,0,1,0,0,0,0,1,1,86.05,244.85,0,False,True,False,True,False,False,False,False,False,True
4381,0,1,0,0,49,1,1,0,0,1,0,0,1,1,90.85,4515.85,1,False,True,False,True,False,False,False,True,False,False
1167,1,0,0,0,26,1,1,0,0,0,0,0,0,1,51.55,1295.4,0,True,False,False,False,True,False,False,True,False,False
5092,0,0,1,1,7,1,0,0,0,0,0,0,0,0,20.45,150.75,0,False,False,True,True,False,False,False,False,False,True
5036,0,1,1,0,16,1,1,0,0,0,0,0,1,1,85.35,1375.15,1,False,True,False,True,False,False,False,True,False,False
6074,1,0,1,0,1,0,0,0,0,0,0,0,0,1,23.45,23.45,1,True,False,False,True,False,False,False,False,True,False
5852,1,1,1,0,21,1,0,0,0,0,0,0,0,1,69.1,1474.75,1,False,True,False,True,False,False,False,False,True,False
4401,0,1,1,1,46,1,1,1,1,0,1,1,1,1,110.2,4972.1,0,False,True,False,True,False,False,False,False,True,False
1255,0,0,0,0,2,0,0,0,0,0,1,0,0,1,30.9,59.05,1,True,False,False,True,False,False,False,False,True,False
6162,0,1,1,0,60,0,0,0,1,0,0,1,1,1,49.45,2907.55,0,True,False,False,False,False,True,False,True,False,False
6783,0,0,0,1,21,0,0,1,1,1,1,1,0,0,53.15,1183.2,0,True,False,False,False,False,True,False,False,False,True
6408,1,0,0,0,69,1,1,0,0,1,1,1,1,1,106.5,7348.8,1,False,True,False,False,False,True,True,False,False,False
4585,0,1,0,0,1,1,1,0,0,0,0,0,1,1,85.05,85.05,1,False,True,False,True,False,False,False,False,True,False
2565,0,0,1,1,13,1,1,0,0,0,0,0,0,1,25.0,332.5,0,False,False,True,False,False,True,True,False,False,False
674,1,1,0,0,52,0,0,0,1,0,0,1,1,1,49.15,2550.9,1,True,False,False,True,False,False,False,False,True,False
3115,0,0,0,0,13,1,1,0,1,1,0,0,0,1,84.45,1058.6,1,False,True,False,True,False,False,False,False,True,False
731,1,0,0,0,5,1,0,0,0,0,0,0,0,0,20.35,92.75,0,False,False,True,True,False,False,False,False,False,True
4698,0,1,1,0,66,1,1,0,1,1,0,1,1,1,80.55,5265.1,1,True,False,False,False,False,True,True,False,False,False
2169,0,0,1,0,62,1,0,1,0,1,1,1,1,0,81.0,4985.9,0,True,False,False,False,False,True,False,False,False,True
1334,0,1,0,0,1,0,0,0,0,0,0,0,0,1,25.2,25.2,1,True,False,False,True,False,False,False,False,True,False
5140,1,0,0,0,1,1,0,0,0,0,0,1,1,1,89.25,89.25,0,False,True,False,True,False,False,False,False,True,False
2644,1,0,0,0,18,0,0,0,1,1,0,0,0,1,33.5,600.0,1,True,False,False,True,False,False,False,True,False,False
5603,0,0,0,0,1,1,0,1,0,0,0,0,0,1,48.6,48.6,1,True,False,False,True,False,False,False,True,False,False
1144,1,0,0,0,1,0,0,0,0,0,0,0,1,1,35.55,35.55,1,True,False,False,True,False,False,False,False,True,False
3801,0,1,0,0,18,1,1,0,1,0,1,0,0,1,85.45,1505.85,1,False,True,False,True,False,False,False,False,True,False
2240,0,1,1,1,72,1,1,1,1,1,1,1,1,1,89.55,6448.85,0,True,False,False,False,False,True,False,True,False,False
4612,0,0,0,1,65,0,0,0,1,0,1,1,0,0,45.25,2933.95,0,True,False,False,False,False,True,False,False,False,True
5499,1,1,0,0,15,1,0,0,0,0,0,0,1,1,79.4,1156.1,1,False,True,False,True,False,False,False,False,True,False
3346,0,1,0,0,2,1,1,0,0,0,0,0,1,1,84.05,186.05,0,False,True,False,True,False,False,False,False,True,False
6926,0,0,0,0,56,1,0,0,1,0,0,0,0,1,73.85,4092.85,1,False,True,False,True,False,False,False,False,True,False
3737,0,0,0,0,5,1,1,0,0,0,0,0,0,1,50.6,249.95,1,True,False,False,True,False,False,False,False,False,True
911,0,1,0,0,15,1,1,0,1,0,0,1,0,0,89.0,1288.3,0,False,True,False,True,False,False,False,True,False,False
2495,0,0,1,0,38,1,0,0,0,0,0,0,0,1,20.25,814.75,0,False,False,True,False,True,False,False,True,False,False
2579,1,0,0,0,48,1,0,0,0,0,0,0,0,0,20.15,982.95,0,False,False,True,False,False,True,False,True,False,False
6995,1,0,0,1,57,1,1,1,1,1,1,1,1,0,89.55,5012.35,0,True,False,False,False,False,True,False,False,False,True
2970,1,1,0,0,5,1,0,0,0,0,0,0,0,1,70.25,331.9,1,False,True,False,True,False,False,False,False,False,True
4565,0,0,1,0,71,0,0,1,1,1,1,1,1,0,66.8,4689.15,0,True,False,False,False,True,False,True,False,False,False
4405,1,0,1,1,6,1,0,0,1,0,0,0,1,1,83.55,477.55,1,False,True,False,True,False,False,False,True,False,False
6573,0,0,1,1,45,0,0,0,1,1,1,0,1,0,51.0,2264.5,0,True,False,False,False,True,False,True,False,False,False
2712,1,0,0,0,8,0,0,1,0,0,0,0,0,0,29.35,216.45,0,True,False,False,True,False,False,False,False,False,True
6139,1,0,0,1,3,1,0,0,0,0,0,0,0,0,20.2,50.6,0,False,False,True,True,False,False,True,False,False,False
4997,1,1,0,0,2,1,0,0,0,0,0,0,0,1,44.7,93.7,1,True,False,False,True,False,False,False,False,True,False
4396,1,1,0,0,1,0,0,0,0,0,0,0,0,1,25.1,25.1,1,True,False,False,True,False,False,False,False,True,False
2417,1,0,0,0,10,0,0,0,1,0,1,0,0,0,35.75,389.8,0,True,False,False,True,False,False,False,False,True,False
2994,1,0,1,0,62,0,0,1,1,0,1,0,0,1,38.6,2345.55,0,True,False,False,False,False,True,False,True,False,False
5690,1,0,0,0,72,0,0,1,0,1,1,1,1,1,61.2,4390.25,0,True,False,False,False,False,True,False,True,False,False
5186,0,1,0,0,1,0,0,0,0,0,0,1,0,1,36.45,36.45,1,True,False,False,True,False,False,False,False,True,False
5565,0,0,1,0,18,0,0,0,0,1,0,1,0,1,39.05,669.85,1,True,False,False,True,False,False,False,False,True,False
4235,0,1,1,0,56,1,1,1,1,1,1,0,0,0,95.65,5471.75,0,False,True,False,False,True,False,False,False,True,False
4063,0,0,0,0,10,1,1,0,1,1,0,0,1,1,94.85,953.45,1,False,True,False,True,False,False,False,False,True,False
6329,0,0,0,0,46,1,0,0,1,1,1,1,1,1,104.4,4904.2,0,False,True,False,False,False,True,True,False,False,False
3994,0,1,1,0,54,1,1,0,1,0,0,1,1,1,101.5,5373.1,1,False,True,False,False,True,False,False,True,False,False
5204,1,1,1,0,38,0,0,0,0,0,0,0,0,1,24.85,955.75,0,True,False,False,True,False,False,False,False,True,False
585,0,1,0,0,1,1,1,0,0,0,0,1,0,1,85.7,85.7,1,False,True,False,True,False,False,False,False,True,False
4526,1,0,0,0,13,1,0,1,0,0,0,0,0,1,73.75,956.65,0,False,True,False,True,False,False,False,True,False,False
4358,1,0,1,1,13,1,0,0,0,0,0,1,1,1,64.75,877.35,0,True,False,False,False,True,False,False,False,True,False
6333,0,1,0,0,60,1,1,0,0,1,1,1,1,1,106.0,6441.4,1,False,True,False,False,True,False,False,False,True,False
3746,0,0,1,0,1,1,0,0,0,0,0,0,0,1,68.95,68.95,1,False,True,False,True,False,False,False,False,True,False
5718,1,0,0,0,6,1,0,0,0,0,0,1,0,1,80.5,463.05,1,False,True,False,True,False,False,False,True,False,False
5505,0,0,1,1,12,0,0,0,0,0,1,0,0,0,30.25,368.85,0,True,False,False,False,True,False,False,True,False,False
4180,0,1,0,0,2,0,0,0,0,0,0,0,0,0,24.35,41.85,1,True,False,False,True,False,False,False,False,True,False
6305,0,1,0,0,26,1,1,1,1,0,0,0,1,1,95.0,2497.2,1,False,True,False,True,False,False,False,False,True,False
4381,0,1,0,0,49,1,1,0,0,1,0,0,1,1,90.85,4515.85,1,False,True,False,True,False,False,False,True,False,False
4100,1,0,1,0,50,1,0,0,0,0,0,0,0,0,19.8,1013.2,0,False,False,True,False,False,True,False,False,True,False
6039,1,1,1,0,27,0,0,0,0,0,0,0,1,0,36.5,1032.0,1,True,False,False,True,False,False,True,False,False,False
554,1,0,0,0,32,1,1,0,1,0,0,0,0,1,80.35,2596.15,1,False,True,False,True,False,False,True,False,False,False
462,1,0,1,1,4,1,1,0,0,1,0,1,1,0,101.15,385.9,1,False,True,False,True,False,False,False,False,True,False
4564,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.0,20.0,1,False,False,True,True,False,False,False,False,False,True
578,1,1,1,0,35,1,1,1,1,0,0,0,1,1,94.55,3365.4,0,False,True,False,True,False,False,False,False,True,False
873,0,0,0,0,60,0,0,0,1,0,0,1,1,1,50.8,3027.4,1,True,False,False,True,False,False,False,False,True,False
1181,1,1,0,0,21,1,0,0,0,1,0,1,0,1,60.05,1236.15,1,True,False,False,True,False,False,True,False,False,False
1132,0,1,1,0,11,1,1,0,0,1,1,1,1,1,104.05,1133.65,1,False,True,False,True,False,False,True,False,False,False
5114,0,1,0,0,50,1,1,1,1,0,0,0,0,1,83.4,4113.7,0,False,True,False,True,False,False,False,False,True,False
409,1,0,0,0,1,1,0,0,0,0,0,0,0,1,19.6,19.6,1,False,False,True,True,False,False,False,False,False,True
1556,0,0,0,0,1,1,0,0,1,0,1,1,0,0,91.7,91.7,1,False,True,False,True,False,False,False,False,True,False
2665,1,1,1,0,33,1,0,1,1,0,1,0,1,1,93.55,3055.5,0,False,True,False,False,True,False,False,False,True,False
1676,0,0,0,0,4,1,1,1,0,0,0,0,0,1,80.15,319.85,0,False,True,False,True,False,False,False,False,True,False
2010,1,0,0,0,5,1,1,0,0,0,0,0,0,1,75.9,357.75,1,False,True,False,True,False,False,True,False,False,False
1636,0,0,0,0,48,1,1,0,0,0,0,0,0,0,24.35,1133.7,0,False,False,True,False,True,False,True,False,False,False
5573,0,1,0,0,1,1,0,0,0,0,0,0,0,1,69.85,69.85,1,False,True,False,True,False,False,False,False,True,False
1074,1,0,0,0,1,1,0,0,0,0,0,0,0,0,21.1,21.1,0,False,False,True,True,False,False,False,False,False,True
